Feature,Importance
City_Grasmere,0.0004898141665726208
City_Cassiar,0.00048405381188228977
City_Boston Bar,0.0004838510577365821
DepartmentName_Store Management,0.00047687712542390293
City_Dease Lake,0.00047349907040344864
City_Fulford Harbour,0.00047172615568796263
City_Nimpo Lake,0.00047064613120373697
City_White Rock,0.0004662709012034715
City_Genelle,0.00045732850856955546
City_Grand Forks,0.00045727905621152377
City_Kaslo,0.0004484481066778654
City_Rossland,0.0004447149109093145
City_Field,0.00044448744372619037
City_Mayne Island,0.00044437925317056335
City_Flatrock,0.00043600754428053105
City_Quesnel,0.0004349371827469513
City_Lumby,0.00043209442150144605
City_Radium Hot Springs,0.0004295415492867988
City_Sechelt,0.0004271886739471008
City_Chemainus,0.000425624817217502
DepartmentName_Executive,0.00042439141395913524
City_Willow Point,0.0004209992388181469
